Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,label_array,Vocabulary Size
2022-5-23-13-24-19,RNN,0,1,0,0,0,0,10000,0.734600008,0.729791939,3.556742191,3.107629299,80.39,84.10364146,70,25,"[0, 1, 0, 0, 0, 0]",30403
2022-5-25-13-17-21,RNN,0,1,0,0,1,0,10000,0.810800016,0.742997169,0.880265117,1.028785706,80.39,84.10364146,70,25,"[0, 1, 0, 0, 1, 0]",28841
2022-5-25-13-33-16,RNN,0,1,1,0,1,0,10000,0.963699996,0.856342554,0.113288365,0.403147995,80.39,84.10364146,70,25,"[0, 1, 1, 0, 1, 0]",20040
2022-5-23-13-24-19,RNN,0,1,1,0,0,0,10000,0.960900009,0.857843161,0.135138288,0.43543449,80.39,84.10364146,70,25,"[0, 1, 1, 0, 0, 0]",22711
2022-5-23-13-24-19,RNN,0,1,1,1,0,0,10000,0.963100016,0.861544609,0.123744003,0.416476399,80.39,84.10364146,70,25,"[0, 1, 1, 1, 0, 0]",22711
2022-5-25-13-42-39,RNN,0,1,1,1,1,0,10000,0.946500003,0.862144887,0.154017314,0.367222607,80.39,84.10364146,70,25,"[0, 1, 1, 1, 1, 0]",20040
2022-5-25-15-1-36,RNN,0,1,0,1,1,0,10000,0.914099991,0.868447363,0.247416869,0.348648578,80.39,84.10364146,70,25,"[0, 1, 0, 1, 1, 0]",28841
2022-5-25-15-15-12,RNN,0,1,0,1,0,0,10000,0.963999987,0.868747473,0.118512221,0.368567973,80.39,84.10364146,70,25,"[0, 1, 0, 1, 0, 0]",30403
2022-5-23-13-24-19,RNN,1,1,0,1,0,0,10000,0.729900002,0.845037997,0.585173011,0.405284852,80.37,84.14365746,70,25,"[1, 1, 0, 1, 0, 0]",30326
2022-5-23-17-22-59,RNN,1,1,1,1,0,0,10000,0.76730001,0.849139631,0.523557544,0.37519142,80.37,84.14365746,70,25,"[1, 1, 1, 1, 0, 0]",22680
2022-5-25-14-14-50,RNN,1,1,1,1,1,0,10000,0.886200011,0.857743084,0.305554718,0.378418714,80.37,84.14365746,70,25,"[1, 1, 1, 1, 1, 0]",20015
2022-5-25-13-48-49,RNN,1,1,0,0,1,0,10000,0.946799994,0.860344112,0.171036318,0.358037919,80.37,84.14365746,70,25,"[1, 1, 0, 0, 1, 0]",28769
2022-5-25-14-5-6,RNN,1,1,1,0,1,0,10000,0.96390003,0.864645839,0.121162266,0.394668549,80.37,84.14365746,70,25,"[1, 1, 1, 0, 1, 0]",20015
2022-5-23-13-24-19,RNN,1,1,1,0,0,0,10000,0.908800006,0.864745915,0.253692985,0.374890983,80.37,84.14365746,70,25,"[1, 1, 1, 0, 0, 0]",22680
2022-5-25-13-58-32,RNN,1,1,0,1,1,0,10000,0.956700027,0.866246521,0.149914801,0.408849269,80.37,84.14365746,70,25,"[1, 1, 0, 1, 1, 0]",28769
2022-5-23-13-24-19,RNN,1,1,0,0,0,0,10000,0.962700009,0.868447363,0.128415108,0.381826282,80.37,84.14365746,70,25,"[1, 1, 0, 0, 0, 0]",30326
2022-5-25-13-28-24,RNN,0,1,0,1,1,1,10000,0.940699995,0.842837155,0.227646947,0.471363306,89.43,92.30692277,70,25,"[0, 1, 0, 1, 1, 1]",28769
2022-5-25-13-20-39,RNN,0,1,0,0,1,1,10000,0.953000009,0.845738292,0.145758018,0.434277862,89.43,92.30692277,70,25,"[0, 1, 0, 0, 1, 1]",28769
2022-5-25-13-52-39,RNN,1,1,0,0,1,1,10000,0.966899991,0.841636658,0.118823886,0.446878016,89.56,92.43697479,70,25,"[1, 1, 0, 0, 1, 1]",28697
2022-5-25-15-8-41,RNN,1,1,0,1,1,1,10000,0.952400029,0.844537795,0.15481253,0.434197694,89.56,92.43697479,70,25,"[1, 1, 0, 1, 1, 1]",28697
2022-5-23-15-29-36,RNN,0,1,0,1,0,1,10000,0.959800005,0.848939598,0.134102955,0.464573771,89.65,92.5170068,70,25,"[0, 1, 0, 1, 0, 1]",30327
2022-5-25-15-31-19,RNN,0,1,0,0,0,1,10000,0.967000008,0.849639833,0.112287596,0.443959475,89.65,92.5170068,70,25,"[0, 1, 0, 0, 0, 1]",30327
2022-5-23-13-24-19,RNN,1,1,0,0,0,1,10000,0.805999994,0.705982387,1.280934811,1.393992901,89.8,92.62705082,70,25,"[1, 1, 0, 0, 0, 1]",30250
2022-5-23-15-20-0,RNN,1,1,0,1,0,1,10000,0.953800023,0.847338915,0.151129156,0.445571184,89.8,92.62705082,70,25,"[1, 1, 0, 1, 0, 1]",30250
2022-5-25-15-22-13,RNN,0,1,1,1,1,1,10000,0.709999979,0.747398973,0.60654223,0.568600118,91.69,93.92757103,70,25,"[0, 1, 1, 1, 1, 1]",19661
2022-5-25-13-37-0,RNN,0,1,1,0,1,1,10000,0.949100018,0.840836346,0.157297224,0.432256788,91.69,93.92757103,70,25,"[0, 1, 1, 0, 1, 1]",19661
2022-5-25-14-9-0,RNN,1,1,1,0,1,1,10000,0.893400013,0.800920367,0.284990638,0.502527893,91.7,93.98759504,70,25,"[1, 1, 1, 0, 1, 1]",19637
2022-5-25-14-17-59,RNN,1,1,1,1,1,1,10000,0.942200005,0.83033216,0.181773245,0.435890019,91.7,93.98759504,70,25,"[1, 1, 1, 1, 1, 1]",19637
2022-5-23-13-24-19,RNN,0,1,1,0,0,1,10000,0.827300012,0.728591442,1.436266303,1.627568007,92.01,94.08763505,70,25,"[0, 1, 1, 0, 0, 1]",22314
2022-5-23-17-53-7,RNN,0,1,1,1,0,1,10000,0.962499976,0.833333313,0.122744285,0.480684012,92.01,94.08763505,70,25,"[0, 1, 1, 1, 0, 1]",22314
2022-5-23-14-59-14,RNN,1,1,1,1,0,1,10000,0.808799982,0.755602241,2.75078249,3.118913889,92.02,94.15766307,70,25,"[1, 1, 1, 1, 0, 1]",22284
2022-5-23-13-24-19,RNN,1,1,1,0,0,1,10000,0.958999991,0.835334122,0.134316251,0.444306105,92.02,94.15766307,70,25,"[1, 1, 1, 0, 0, 1]",22284
